Poskytovateľ,Dataset,Zobrazenia,Rok
Vestník verejného obstarávania apríl 2017,Úrad pre verejné obstarávanie,535,2022
Vestník verejného obstarávania február 2019,Úrad pre verejné obstarávanie,529,2022
Vestník verejného obstarávania január 2021,Úrad pre verejné obstarávanie,521,2022
Vestník verejného obstarávania máj 2018,Úrad pre verejné obstarávanie,520,2022
Vestník verejného obstarávania júl 2014,Úrad pre verejné obstarávanie,520,2022
Vestník verejného obstarávania máj 2017,Úrad pre verejné obstarávanie,518,2022
Oznámenie o výsledku verejného obstarávania podľa zákona o verejnom obstarávaní za každý  štvrťrok bežného kalendárneho roka,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,518,2022
Vestník verejného obstarávania október 2015,Úrad pre verejné obstarávanie,518,2022
Vestník verejného obstarávania november 2018,Úrad pre verejné obstarávanie,513,2022
Vestník verejného obstarávania február 2017,Úrad pre verejné obstarávanie,509,2022
Vestník verejného obstarávania február 2015,Úrad pre verejné obstarávanie,506,2022
Počet prístupov na ÚPVS za deň 2021,Národná agentúra pre sieťové a elektronické služby - NASES,504,2022
Vestník verejného obstarávania apríl 2020,Úrad pre verejné obstarávanie,503,2022
Dátový inventár rezortu pôdohospodárstva a rozvoja vidieka,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,501,2022
Vestník verejného obstarávania august 2014,Úrad pre verejné obstarávanie,491,2022
Vestník verejného obstarávania  február 2020,Úrad pre verejné obstarávanie,490,2022
Vestník verejného obstarávania marec 2019,Úrad pre verejné obstarávanie,490,2022
Vestník verejného obstarávania jún 2019,Úrad pre verejné obstarávanie,485,2022
Zoznam výpadkov,Národná agentúra pre sieťové a elektronické služby - NASES,482,2022
Katalóg rezortu pôdohospodárstva a rozvoja vidieka,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,480,2022
Datasety v pôsobnosti SVS MV SR,Ministerstvo vnútra SR,480,2022
Vestník verejného obstarávania máj 2015,Úrad pre verejné obstarávanie,479,2022
Vestník verejného obstarávania august 2019,Úrad pre verejné obstarávanie,478,2022
Vestník verejného obstarávania január 2014,Úrad pre verejné obstarávanie,475,2022
Zoznam tlačí pre 8. volebné obdobie,Kancelária Národnej rady SR,474,2022
Vestník verejného obstarávania január 2015,Úrad pre verejné obstarávanie,472,2022
Vestník verejného obstarávania december 2015,Úrad pre verejné obstarávanie,471,2022
Vestník verejného obstarávania september 2018,Úrad pre verejné obstarávanie,471,2022
Vestník verejného obstarávania marec 2021,Úrad pre verejné obstarávanie,470,2022
"Počty evidovaných vodičov, vydaných vodičských preukazov a medzinárodných vodičských preukazov po rokoch.",Ministerstvo vnútra SR,468,2022
Vestník verejného obstarávania august 2022,Úrad pre verejné obstarávanie,464,2022
Vestník verejného obstarávania september 2019,Úrad pre verejné obstarávanie,464,2022
Vestník verejného obstarávania august 2015,Úrad pre verejné obstarávanie,462,2022
Vestník verejného obstarávania jún 2014,Úrad pre verejné obstarávanie,461,2022
Vestník verejného obstarávania november 2020,Úrad pre verejné obstarávanie,460,2022
Vestník verejného obstarávania november 2019,Úrad pre verejné obstarávanie,457,2022
Vestník verejného obstarávania november 2015,Úrad pre verejné obstarávanie,454,2022
Telekomunikačne služby MPRV SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,452,2022
Vestník verejného obstarávania marec 2018,Úrad pre verejné obstarávanie,450,2022
Vestník verejného obstarávania apríl 2019,Úrad pre verejné obstarávanie,447,2022
Vestník verejného obstarávania september 2021,Úrad pre verejné obstarávanie,446,2022
Vestník verejného obstarávania november 2014,Úrad pre verejné obstarávanie,445,2022
Vestník verejného obstarávania september 2014,Úrad pre verejné obstarávanie,444,2022
Vestník verejného obstarávania október 2017,Úrad pre verejné obstarávanie,441,2022
Vestník verejného obstarávania február 2014,Úrad pre verejné obstarávanie,440,2022
Vestník verejného obstarávania apríl 2015,Úrad pre verejné obstarávanie,438,2022
Vestník verejného obstarávania apríl 2014,Úrad pre verejné obstarávanie,437,2022
Vestník verejného obstarávania júl 2015,Úrad pre verejné obstarávanie,435,2022
Faktúry MO SR,Ministerstvo obrany SR,432,2022
Vestník verejného obstarávania november 2017,Úrad pre verejné obstarávanie,425,2022
Vestník verejného obstarávania august 2016,Úrad pre verejné obstarávanie,421,2022
Vestník verejného obstarávania september 2015,Úrad pre verejné obstarávanie,419,2022
Vestník verejného obstarávania marec 2020,Úrad pre verejné obstarávanie,418,2022
Objednávky tovarov a služieb RÚVZ Michalovce,Regionálny úrad verejného zdravotníctva Michalovce,416,2022
Zoznam evidovaných typov aplikačných zariadení a individuálne obstaraných aplikačných zariadení,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,412,2022
Vestník verejného obstarávania máj 2022,Úrad pre verejné obstarávanie,408,2022
Priemerné ceny pohonných látok v SR (týždenné) [sp0207ts],Štatistický úrad SR,408,2022
Vestník verejného obstarávania jún 2022,Úrad pre verejné obstarávanie,405,2022
CITES - výročné správy,Ministerstvo životného prostredia SR,402,2022
SLOVFIC - Správa a využívanie národnej databanky krmív,Národné poľnohospodárske a potravinárske centrum Lužianky,401,2022
Faktúry za tovary a služby RÚVZ Michalovce,Regionálny úrad verejného zdravotníctva Michalovce,401,2022
Vestník verejného obstarávania jún 2015,Úrad pre verejné obstarávanie,400,2022
Vestník verejného obstarávania december 2016,Úrad pre verejné obstarávanie,398,2022
Vestník verejného obstarávania apríl 2022,Úrad pre verejné obstarávanie,397,2022
Vestník verejného obstarávania marec 2014,Úrad pre verejné obstarávanie,395,2022
Vestník verejného obstarávania máj 2014,Úrad pre verejné obstarávanie,394,2022
Vestník verejného obstarávania október 2016,Úrad pre verejné obstarávanie,393,2022
Počet prihlásení do schránok za mesiac,Národná agentúra pre sieťové a elektronické služby - NASES,392,2022
Vestník verejného obstarávania apríl 2018,Úrad pre verejné obstarávanie,392,2022
Vestník verejného obstarávania jún 2020,Úrad pre verejné obstarávanie,391,2022
Zoznam organizácií v pôsobnosti MDV SR,Ministerstvo dopravy a výstavby SR,388,2022
Zoznam zazmluvnených žiadostí o NFP v rámci ROP k 29.02.2012,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,387,2022
Vestník verejného obstarávania október 2018,Úrad pre verejné obstarávanie,387,2022
Výkaz o výsledkoch následných finančných kontrol,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,384,2022
Vestník verejného obstarávania júl 2018,Úrad pre verejné obstarávanie,381,2022
Faktúry na zverejnenie,"Hydromeliorácie, štátny podnik",378,2022
Prehľad o poskytnutých národných podporách,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,374,2022
PHM,"Hydromeliorácie, štátny podnik",370,2022
Štatistika kriminality v Slovenskej republike za rok 2012,Ministerstvo vnútra SR,365,2022
Zoznam elektronických služieb a formulárov na ÚPVS,Národná agentúra pre sieťové a elektronické služby - NASES,364,2022
Objednávky,Ministerstvo obrany SR,361,2022
MDS_2019_MPRV SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,361,2022
Vestník verejného obstarávania jún 2018,Úrad pre verejné obstarávanie,361,2022
Vestník verejného obstarávania júl 2017,Úrad pre verejné obstarávanie,358,2022
Výsledky rezortnej štatistiky,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,357,2022
Vestník verejného obstarávania december 2014,Úrad pre verejné obstarávanie,355,2022
Prehľad požiadaviek kontaktného centra ÚPVS,Národná agentúra pre sieťové a elektronické služby - NASES,354,2022
Zoznam OVM s pridelenou rolou na vytváranie listinného rovnopisu v schránke,Národná agentúra pre sieťové a elektronické služby - NASES,342,2022
Volebné okrsky a miestnosti pre voľby v meste Prešov,Mesto Prešov,338,2022
Vestník verejného obstarávania január 2018,Úrad pre verejné obstarávanie,338,2022
Vestník verejného obstarávania december 2018,Úrad pre verejné obstarávanie,334,2022
Štatistika kriminality v Slovenskej republike za rok 2017,Ministerstvo vnútra SR,331,2022
Vestník verejného obstarávania september 2016,Úrad pre verejné obstarávanie,330,2022
Vestník verejného obstarávania február 2018,Úrad pre verejné obstarávanie,310,2022
Centrálny register poskytovateľov sociálnych služieb,"Ministerstvo práce, sociálnych vecí a rodiny SR",304,2022
REGISTER ADRIES,Ministerstvo vnútra SR,300,2022
Vestník verejného obstarávania september 2017,Úrad pre verejné obstarávanie,297,2022
Plán kontrol podľa zákona č. 10/1996 Z. z. za rok 2017,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,295,2022
Objednávky RÚVZ so sídlom v Starej Ľubovni,Regionálny úrad verejného zdravotníctva Stará Ľubovňa,294,2022
Počet zriadených elektronických schránok,Národná agentúra pre sieťové a elektronické služby - NASES,293,2022
ŠTATISTIKY DOKLADOV A EVIDENCIÍ,Ministerstvo vnútra SR,287,2022
Zoznam tlačí pre 7. volebné obdobie,Kancelária Národnej rady SR,285,2022
Počet aktivovaných elektronických schránok na doručovanie,Národná agentúra pre sieťové a elektronické služby - NASES,284,2022
Vestník Úradu priemyselného vlastníctva SR - 2022,Úrad priemyselného vlastníctva Slovenskej republiky,284,2022
Štatistika kriminality v Slovenskej republike za rok 2015,Ministerstvo vnútra SR,277,2022
Štatistika kriminality v Slovenskej republike za rok 2014,Ministerstvo vnútra SR,277,2022
Vestník verejného obstarávania december 2017,Úrad pre verejné obstarávanie,271,2022
Štatistika kriminality v Slovenskej republike za rok 2016,Ministerstvo vnútra SR,270,2022
"Register vydaných, zaniknutých a odňatých povolení na výrobu, spracovanie, manipulovanie a uvádzanie liehu na trh",Ministerstvo pôdohospodárstva a rozvoja vidieka SR,266,2022
Počet prihlásení do schránky podľa dňa a hodiny,Národná agentúra pre sieťové a elektronické služby - NASES,264,2022
Vestník verejného obstarávania september 2022,Úrad pre verejné obstarávanie,260,2022
Agrofilm – Databáza filmov medzinárodného festivalu k zapožičaniu,Národné poľnohospodárske a potravinárske centrum Lužianky,260,2022
Zoznam evidovanych fariem v CEHZ,"Plemenárske služby Slovenskej republiky, štátny podnik",257,2022
Incidencia zhubných nádorov v Slovenskej republike,"Národné centrum zdravotníckych informácií, Bratislava",255,2022
Telefónny zoznam vedúcich zamestnancov MDV SR,Ministerstvo dopravy a výstavby SR,253,2022
Štatistika kriminality v Slovenskej republike za rok 2013,Ministerstvo vnútra SR,253,2022
Daň z pridanej hodnoty podľa § 7 Zákona o DPH,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,247,2022
Vestník verejného obstarávania júl 2022,Úrad pre verejné obstarávanie,246,2022
Faktúry za tovary a služby RÚVZ Bardejov,Regionálny úrad verejného zdravotníctva Bardejov,246,2022
Rozpočet výdavkov kapitoly MDV SR,Ministerstvo dopravy a výstavby SR,240,2022
Zoznam zverejnených datasetov MDV SR,Ministerstvo dopravy a výstavby SR,238,2022
Zoznam objednávok Úradu priemyselného vlastníctva SR,Úrad priemyselného vlastníctva Slovenskej republiky,237,2022
Faktúry za tovary a služby RÚVZ Svidník,Regionálny úrad verejného zdravotníctva Svidník,231,2022
Vybrané aktíva a pasíva,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,228,2022
Spravodajca odrodového skúšobníctva Slovenskej republiky,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,226,2022
MDS_MOSR,Ministerstvo obrany SR,225,2022
Lesné hospodárske celky,Národné lesnícke centrum,225,2022
Absolventi školenia Ochrana zvierat počas usmrcovania,Inštitút vzdelávania veterinárnych lekárov Košice,224,2022
Priemerné ceny pohonných látok v SR (mesačné) [sp0202ms],Štatistický úrad SR,223,2022
Obvyklá výška nájomného,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,223,2022
Plán zverejňovania datasetov MVSR,Ministerstvo vnútra SR,216,2022
Zoznam datasetov PMÚ SR,"Protimonopolný úrad SR, Bratislava",215,2022
Dopravné prieskumy,Ministerstvo dopravy a výstavby SR,214,2022
Faktúry za tovary a služby RÚVZ Rožňava,"Regionálny úrad verejného zdravotníctva, Rožňava",213,2022
Register obhospodarovateľov lesa (Obh),Národné lesnícke centrum,211,2022
Datasety rezortu Zdravotníctva,Ministerstvo zdravotníctva SR,209,2022
Rozpočtová rezerva predsedu vlády SR,Úrad vlády SR,205,2022
Priemerná dĺžka konania,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",203,2022
Zoznam využívaného otvoreného softvéru,Ministerstvo obrany SR,203,2022
Dáta k implementácii Štrukturálnych fondov a Kohézneho fondu v SR v programovom období 2007-2013,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,202,2022
Register odborných lesných hospodárov (OLH),Národné lesnícke centrum,201,2022
Objednávky tovarov a služieb RÚVZ Svidník,Regionálny úrad verejného zdravotníctva Svidník,200,2022
Štatistický prehľad sťažností a petícii  za roky 2011 až 2022,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,197,2022
Dotácie za prenesený výkon štátnej správy,Ministerstvo dopravy a výstavby SR,197,2022
Objednávky  tovarov a služieb RÚVZ Bardejov,Regionálny úrad verejného zdravotníctva Bardejov,196,2022
Plán kontrol podľa zákona č. 357/2015 Z. z. za rok 2017,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,196,2022
"Register odborne spôsobilých osôb na epidemiologicky závažné činnosti pri výrobe, manipulácii a uvádzaní do obehu potravín a pokrmov",Regionálny úrad verejného zdravotníctva Čadca,194,2022
Register jednotiek priestorového rozdelenia lesa (JPRL),Národné lesnícke centrum,193,2022
Číselníky vysokých škôl,Ministerstvo spravodlivosti SR,193,2022
Harmonogram zverejňovania,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",191,2022
Dotácie v oblasti civilného letectva,Ministerstvo dopravy a výstavby SR,187,2022
Objednávky tovarov a služieb RÚVZ Rožňava,"Regionálny úrad verejného zdravotníctva, Rožňava",187,2022
Majetok organizácie,Múzeum vo Svätom Antone,186,2022
Register odborne spôsobilých osôb RÚVZ SE,Regionálny úrad verejného zdravotníctva pre územný obvod okresov Senica a Skalica,184,2022
Zoznam členov Monitorovacieho výboru OPII,Ministerstvo dopravy a výstavby SR,182,2022
Rozborové štandardy,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,180,2022
Vestník verejného obstarávania október 2022,Úrad pre verejné obstarávanie,180,2022
Faktúry za tovary a služby RÚVZ Martin,Regionálny úrad verejného zdravotníctva Martin,180,2022
"Zoznam OVM so schránkou aktivovanou na doručovanie, ktoré majú materskú identitu",Národná agentúra pre sieťové a elektronické služby - NASES,177,2022
Objednávky na tovary a služby RÚVZ Vranov nad Topľou,Regionálny úrad verejného zdravotníctva Vranov nad Topľou,177,2022
Zoznam prijatých a uhradených faktúr,"Národné centrum zdravotníckych informácií, Bratislava",176,2022
041 Dotácie poskytnuté z kapitoly VPS,Ministerstvo financií SR,175,2022
Súbor objednávok tovarov a služieb,Regionálny úrad verejného zdravotníctva Trebišov,174,2022
Zoznam faktúr Úradu priemyselného vlastníctva SR,Úrad priemyselného vlastníctva Slovenskej republiky,174,2022
Formulár programových častí,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,173,2022
Údaje o životnom prostredí (kvalita ovzdušia),Ministerstvo životného prostredia SR,172,2022
Časový harmonogram vytvárania a sprístupňovania datasetov ÚPV SR,Úrad priemyselného vlastníctva Slovenskej republiky,171,2022
Systém pomoci pri cestách do zahraničia,Ministerstvo zahraničných vecí a európskych záležitostí SR,170,2022
Cestné objekty - zoznam mostov,Slovenská správa ciest,169,2022
Zoznam objednávok,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,169,2022
Ročný výkaz o revíri a stavoch zveri,Národné lesnícke centrum,168,2022
"RÚVZ Martin- Register odborne spôsobilých osôb na vykonávanie EZČ  pri výrobe, manipulácii a uvádzaní do obehu potravín a pokrmov",Regionálny úrad verejného zdravotníctva Martin,167,2022
Zoznam zmlúv Úradu priemyselného vlastníctva SR,Úrad priemyselného vlastníctva Slovenskej republiky,166,2022
Zoznam inštitúcií so zriadenou službou Všeobecná agenda,Národná agentúra pre sieťové a elektronické služby - NASES,165,2022
Register odborne spôsobilých osôb na epidemiologicky závažné činnosti v zariadeniach starostlivosti o ľudské telo,Regionálny úrad verejného zdravotníctva Čadca,164,2022
Posudzovanie vplyvov navrhovaných činností na životné prostredie (EIA),Slovenská agentúra životného prostredia Banská Bystrica,162,2022
Faktúry RÚVZ so sídlom v Starej Ľubovni,Regionálny úrad verejného zdravotníctva Stará Ľubovňa,161,2022
Výročná správa o činnosti RÚVZ Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,158,2022
Zoznam akreditovaných študijných programov - študijné programy sústavného vzdelávania,Ministerstvo zdravotníctva SR,158,2022
Príjem na osobu - priemerné príjmy podľa krajov,Štatistický úrad SR,156,2022
Súhrnná správa o zákazkách s nízkymi hodnotami §117,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,154,2022
Počet používateľov a zobrazení webstránky MDV SR,Ministerstvo dopravy a výstavby SR,154,2022
Počet psov podľa adresy chovu v meste Prešov (k aktuálnemu dátumu),Mesto Prešov,152,2022
Vestník verejného obstarávania november 2022,Úrad pre verejné obstarávanie,152,2022
Miera rizika chudoby alebo sociálneho vylúčenia v členení podľa krajov,Štatistický úrad SR,151,2022
Register odbornej spôsobilosti,Regionálny úrad verejného zdravotníctva Svidník,150,2022
Zoznam pripravovaných datasetov rezortu MPRV SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,149,2022
Štatistická klasifikácia produktov podľa činností (CPA) 2015,Štatistický úrad SR,149,2022
Štatistika kriminality v Slovenskej republike za rok 2010,Ministerstvo vnútra SR,149,2022
Súhrnná správa o zákazkách s nízkou hodnotou podľa § 111 a 117 Zákona o verejnom obstarávaní,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,148,2022
Zoznam poslancov pre 8. volebné obdobie,Kancelária Národnej rady SR,148,2022
Zoznam faktúr,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,147,2022
eGovernment služby vyšších územných celkov,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,146,2022
Modul dotačných schém,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",146,2022
Dotácie na spracovanie územnoplánovacej dokumentácie obcí,Ministerstvo dopravy a výstavby SR,146,2022
Súbor došlých faktúr za tovary a služby,Regionálny úrad verejného zdravotníctva Trebišov,145,2022
Evidencia žiadostí v zmysle § 20 zákona č. 211/2000 Z. z.,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,145,2022
Schválené národné projekty,"Ministerstvo práce, sociálnych vecí a rodiny SR",144,2022
RÚVZ Martin- Register odborne spôsobilých osôb na vykonávanie EZČ  v zariadeniach starostlivosti o ľudské telo,Regionálny úrad verejného zdravotníctva Martin,143,2022
"Prehľad faktúr za tovary, služby a práce",Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,143,2022
Objednávky tovarov a služieb RÚVZ Martin,Regionálny úrad verejného zdravotníctva Martin,143,2022
Stav integrácií na ÚPVS,Národná agentúra pre sieťové a elektronické služby - NASES,141,2022
Ochrana zvierat používaných na vedecké účely alebo vzdelávacie účely,Inštitút vzdelávania veterinárnych lekárov Košice,141,2022
Zoznam otvoreného softvéru používaného v Úrade priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,140,2022
Zoznam prijímateľov v rámci OPBK k 29.02.2012,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,136,2022
Zoznam daňových dlžníkov mestu Prešov,Mesto Prešov,136,2022
001 Organizačná štruktúra,Ministerstvo financií SR,136,2022
Register odborne spôsobilých osôb,Regionálny úrad verejného zdravotníctva Prievidza,135,2022
Faktúry za tovary a služby RÚVZ Vranov nad Topľou,Regionálny úrad verejného zdravotníctva Vranov nad Topľou,135,2022
Životné situácie a eGovernment služby štátnej správy,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,134,2022
Súhrnná správa o zákazkách podľa zákona o verejnom obstarávaní za každý  štvrťrok bežného kalendárneho roka,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,134,2022
Zoznam zriadených elektronických schránok notárov a exekútorov,Národná agentúra pre sieťové a elektronické služby - NASES,134,2022
Zoznam monitorovacích zariadení kamerového systému (stav k aktuálnemu dátumu),Mesto Prešov,134,2022
Bonitované pôdnoekologické jednotky (BPEJ),Národné poľnohospodárske a potravinárske centrum Lužianky,134,2022
Štatistika kriminality v Slovenskej republike za rok 2011,Ministerstvo vnútra SR,133,2022
Elektronické konzulárne služby,Ministerstvo zahraničných vecí a európskych záležitostí SR,133,2022
Zoznam využívaného otvoreného softvéru,Ministerstvo vnútra SR,133,2022
eGovernment služby štátnej správy,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,132,2022
Biele miesta broadbandu SR,Národná agentúra pre sieťové a elektronické služby - NASES,131,2022
Centrálny register študentov,Ministerstvo spravodlivosti SR,131,2022
Úseky a agendy verejnej správy,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,128,2022
Miera veľmi nízkej pracovnej intenzity v členení podľa krajov,Štatistický úrad SR,127,2022
Odpočet úloh za obdobie od apríla 2016 do 31.12.2017 za odbor 022,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,127,2022
Zoznam Datasetov ÚGKK SR,"Úrad geodézie, kartografie a katastra SR",126,2022
Centrálny register zmlúv,Úrad vlády SR,126,2022
Zoznam akreditovaných študijných programov - špecializačné študijné programy,Ministerstvo zdravotníctva SR,125,2022
Register odborne spôsobilých osôb na epidemiologicky závažné činnosti v úpravniach vody a pri obsluhe vodovodných zariadení,Regionálny úrad verejného zdravotníctva Čadca,124,2022
Objednávky tovarov a služieb RÚVZ Čadca,Regionálny úrad verejného zdravotníctva Čadca,124,2022
Prehľad prihlásených a uznaných množiteľských plôch za daný rok,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,124,2022
Dáta o kontrolách,"Protimonopolný úrad SR, Bratislava",124,2022
Štatistika návštevnosti a tržieb Slovenského banského múzea v Banskej Štiavnici,Ministerstvo životného prostredia SR,124,2022
Zoznam veľkých projektov OPII,Ministerstvo dopravy a výstavby SR,123,2022
Ochrana zvierat pri preprave,Inštitút vzdelávania veterinárnych lekárov Košice,122,2022
Zoznam žiadostí - firemné skúšky FS,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,122,2022
Odpočet úloh za obdobie od apríla 2016 do 31.12.2017 za odbor 021,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,121,2022
Zoznam objednávok ÚNMS SR,"Úrad pre normalizáciu, meterológiu a skúšobníctvo Slovenskej republiky",121,2022
Register odborne spôsobilých osôb na epidemiologicky závažnú činnosť,"Regionálny úrad verejného zdravotníctva, Rožňava",121,2022
Register adries a stavieb v meste Prešov (k aktuálnemu dátumu),Mesto Prešov,120,2022
Zoznam v súčasnosti zverejnených datasetov rezortu MPRV SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,120,2022
Obce Slovenskej republiky,Štatistický úrad SR,120,2022
MIRRI Organizačná štruktúra (2021-04-20),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,119,2022
Zoznam všetkých datasetov ÚNMS SR,"Úrad pre normalizáciu, meterológiu a skúšobníctvo Slovenskej republiky",119,2022
Agendy a eGovernment služby vyšších územných celkov,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,119,2022
Štatistika kriminality v Slovenskej republike za rok 2008,Ministerstvo vnútra SR,119,2022
"Počty a podiely osôb pod hranicami chudoby (40 %, 50 %, 60 %, 70 % mediánu) podľa krajov",Štatistický úrad SR,119,2022
Zoznam dietetických potravín s úradne určenou cenou,Ministerstvo zdravotníctva SR,118,2022
Spotreba organických hnojív,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,118,2022
Zoznam potencionálnych datasetov rezortu MŽP SR pre Portál Otvorených Dát,Ministerstvo životného prostredia SR,117,2022
Technické parametre cestnej siete,Ministerstvo dopravy a výstavby SR,117,2022
Register odborne spôsobilých osôb RÚVZ Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,117,2022
Zdravotnícke zariadenia v Nitrianskom kraji,Nitriansky samosprávny kraj,115,2022
Pozemná komunikácia - šírkové usporiadanie priečneho rezu,Slovenská správa ciest,114,2022
Pôdna mapa Slovenska 1:400 000,Národné poľnohospodárske a potravinárske centrum Lužianky,114,2022
"HC04 Obyvateľstvo podľa miesta sčítania, pohlavia, postavenia v domácnosti, veľkostných skupín obcí, ekonomickej aktivity, miesta narodenia, štátnej príslušnosti a veku",Štatistický úrad SR,113,2022
eIDAS - štatistika prihlásení používateľov,Národná agentúra pre sieťové a elektronické služby - NASES,113,2022
Počet občanov mesta Prešov podľa krstných mien (k aktuálnemu dátumu),Mesto Prešov,113,2022
Register odborne spôsobilých osôb v zmysle zákona č. 355/2007 Z. z.,Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,113,2022
Krajina OSN,Štatistický úrad SR,113,2022
"Prehľad vyhotovených objednávok za tovary, služby a práce",Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,112,2022
Register zverejnených zmlúv (od 1.8.2011 do aktuálneho dátumu),Mesto Prešov,112,2022
Štatistika kriminality v Slovenskej republike za rok 2006,Ministerstvo vnútra SR,111,2022
Náklady na motorové vozidlá,"Hydromeliorácie, štátny podnik",111,2022
Cenník služieb Slovenskej pošty,Ministerstvo dopravy a výstavby SR,111,2022
Register osvedčení o odbornej spôsobilosti,Regionálny úrad verejného zdravotníctva Bardejov,111,2022
Súdy,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",110,2022
Životné situácie a eGovernment služby Dátového centra obcí a miest,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,110,2022
Charakteristika železničných tratí v SR,Ministerstvo dopravy a výstavby SR,110,2022
Zoznamy poverených veterinárnych lekárov na vydávanie pasov spoločenských zvierat,Štátna veterinárna a potravinová správa Bratislava,110,2022
Katalóg otvorených údajov MVSR,Ministerstvo vnútra SR,110,2022
Zoznam majetku ARVI,"Agentúra pre rozvoj vidieka, Nitra",110,2022
Intenzita železničnej dopravy v SR,Ministerstvo dopravy a výstavby SR,109,2022
Prípravky na ochranu rastlín,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,109,2022
Úradná elektronická tabuľa mesta Prešov - ARCHÍV (k aktuálnemu dátumu),Mesto Prešov,109,2022
Atmosférické podmienky a Meteorologické geografické prvky,Ministerstvo životného prostredia SR,108,2022
Faktúry za tovary a služby RÚVZ Čadca,Regionálny úrad verejného zdravotníctva Čadca,108,2022
Počty a podiely domácností podľa intervalov mesačného ekvivalentného disponibilného príjmu podľa krajov,Štatistický úrad SR,108,2022
Granty EHP a Nórska,Úrad vlády SR,107,2022
MIRRI Objednávky (2021-06-16),Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,107,2022
Zoznam faktúr ÚNMS SR,"Úrad pre normalizáciu, meterológiu a skúšobníctvo Slovenskej republiky",107,2022
Podpora rozvoja športu,Úrad vlády SR,107,2022
Odpočet úloh za obdobie od apríla 2016 do 31.12.2017 za odbor 023,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,107,2022
Zoznam kvalifikovaných certifikátov pre kvalifikovanú elektronickú pečať ( KSC),Národná agentúra pre sieťové a elektronické služby - NASES,106,2022
Zoznam vystavených objednávok,"Národné centrum zdravotníckych informácií, Bratislava",106,2022
Zahraničný obchod podľa krajín,Štatistický úrad SR,106,2022
Zoznam liekov s úradne určenou cenou k 1.1.2018,Ministerstvo zdravotníctva SR,106,2022
Štatistika kriminality v Slovenskej republike za rok 2009,Ministerstvo vnútra SR,105,2022
Indexy cien stavebných prác materiálov a výrobkov spotrebovaných v stavebníctve (2015=100) - mesačné údaje,Štatistický úrad SR,105,2022
